current_state,previous_state,estimate,margin_of_error,year
CT,CA,4479,1653.0,2010
CT,CO,547,487.0,2010
CT,DC,331,343.0,2010
CT,DE,149,227.0,2010
CT,FL,9207,2532.0,2010
CT,GA,748,467.0,2010
CT,HI,182,171.0,2010
CT,IA,108,131.0,2010
CT,ID,147,130.0,2010
CT,IL,3391,1847.0,2010
CT,IN,1074,798.0,2010
CT,KS,0,281.0,2010
CT,KY,400,430.0,2010
CT,LA,0,281.0,2010
CT,MA,8510,2107.0,2010
CT,MD,1531,814.0,2010
CT,ME,528,447.0,2010
CT,MI,770,486.0,2010
CT,MN,934,659.0,2010
CT,MO,42,68.0,2010
CT,MS,67,111.0,2010
CT,MT,0,281.0,2010
CT,NC,1345,587.0,2010
CT,ND,0,281.0,2010
CT,NE,0,281.0,2010
CT,NH,1049,628.0,2010
CT,NJ,3475,1175.0,2010
CT,NM,112,189.0,2010
CT,NV,507,424.0,2010
CT,NY,20727,3325.0,2010
CT,OH,1296,710.0,2010
CT,OK,145,171.0,2010
CT,OR,640,592.0,2010
CT,PA,1955,808.0,2010
CT,RI,1728,796.0,2010
CT,SC,1140,627.0,2010
CT,SD,0,281.0,2010
CT,TN,430,389.0,2010
CT,TX,1887,1100.0,2010
CT,UT,0,281.0,2010
CT,VA,1735,691.0,2010
CT,VT,458,419.0,2010
CT,WA,2084,1631.0,2010
CT,WI,1092,1321.0,2010
CT,WV,442,674.0,2010
CT,WY,47,78.0,2010
DC,AK,591,529.0,2010
DC,AL,360,418.0,2010
DC,AR,155,195.0,2010
DC,AZ,662,466.0,2010
DC,CA,4205,1255.0,2010
DC,CO,656,637.0,2010
DC,CT,926,592.0,2010
DC,DE,0,292.0,2010
DC,FL,1100,609.0,2010
DC,GA,1597,795.0,2010
DC,HI,0,292.0,2010
DC,IA,392,377.0,2010
DC,ID,0,292.0,2010
DC,IL,615,373.0,2010
DC,IN,711,461.0,2010
DC,KS,83,137.0,2010
DC,KY,94,155.0,2010
DC,LA,0,292.0,2010
DC,MA,1376,540.0,2010
DC,MD,13503,2647.0,2010
DC,ME,76,121.0,2010
DC,MI,126,153.0,2010
DC,MN,87,105.0,2010
DC,MO,272,371.0,2010
DC,MS,0,292.0,2010
DC,MT,0,292.0,2010
DC,NC,1897,1089.0,2010
DC,ND,98,165.0,2010
DC,NE,62,103.0,2010
DC,NH,137,136.0,2010
DC,NJ,1924,694.0,2010
DC,NM,61,100.0,2010
DC,NV,0,292.0,2010
DC,NY,3852,1325.0,2010
DC,OH,598,359.0,2010
DC,OK,0,292.0,2010
DC,OR,601,520.0,2010
DC,PA,2378,771.0,2010
DC,RI,249,206.0,2010
DC,SC,380,339.0,2010
DC,SD,0,292.0,2010
DC,TN,591,543.0,2010
